
2024/09/10 (12:43:03) | ===> btop++ v.1.3.2
2024/09/10 (12:43:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/10 (12:43:59) | ===> btop++ v.1.3.2
2024/09/10 (12:43:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (11:34:18) | ===> btop++ v.1.3.2
2024/09/12 (11:34:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (13:24:54) | ===> btop++ v.1.3.2
2024/09/15 (13:24:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (13:27:04) | ===> btop++ v.1.3.2
2024/09/15 (13:27:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (13:32:39) | ===> btop++ v.1.3.2
2024/09/15 (13:32:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (13:56:06) | ===> btop++ v.1.3.2
2024/09/15 (13:56:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (17:08:41) | ===> btop++ v.1.3.2
2024/09/15 (17:08:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
